ID,direction,speed,reliability
1000001733,T,19,6
1000002670,F,42,6
1000002671,F,42,6
1000005844,T,24,6
1000005845,F,8,6
1000005845,T,24,6
1000013510,F,22,8
1000013511,F,22,8
1000013513,F,28,6
1000031793,T,50,6
1000031794,T,50,6
1000031798,T,50,6
1000031799,T,50,6
1000035298,T,23,6
1000048953,F,20,6
1000062636,T,37,6
1000062637,T,34,6
1000065214,F,30,6
1000065215,F,30,6
1000079566,F,37,6
1000173660,T,38,6
1000173661,T,38,6
1000173662,T,38,6
1000175344,F,50,6
1000175910,F,49,6
1000175911,F,49,6
1000181054,T,26,10
1000181055,T,26,10
1000217851,T,30,6
1000217852,T,11,6
1000217853,T,42,6
1000217854,T,30,6
1000244284,F,23,8
1000244285,F,16,8
1000466776,T,25,10
1000490854,F,48,7
1000490854,T,54,6
1000490859,T,54,6
1000498309,F,53,6
1000498310,F,53,6
1000500041,F,68,6
1000500042,F,68,6
1000500045,F,68,6
1000500046,F,68,6
1000500050,F,50,6
1000503467,T,27,6
1000503469,F,33,6
1000503469,T,33,8
1000503470,F,33,6
1000503470,T,33,8
1000504151,T,61,8
1000504160,T,52,6
1000504174,T,50,8
1000505005,F,50,6
1000505006,F,50,6
1000505010,T,23,6
1000505011,T,10,6
1000505075,T,38,6
1000505245,T,49,6
1000505251,T,46,6
1000505252,T,46,6
1000505255,F,44,6
1000505256,F,44,6
1000505257,F,50,6
1000505258,F,46,6
1000508360,F,30,6
1000508363,F,30,6
1000508364,F,21,6
1000508365,F,30,6
1000508368,T,21,6
1000508369,T,21,6
1000509213,T,30,6
1000509330,F,29,6
1000509331,F,39,6
1000509816,T,30,6
1000509818,T,28,6
1000510029,F,50,6
1000510030,F,30,6
1000510031,F,30,6
1000510032,F,50,6
1000510379,F,56,6
1000510380,F,56,6
1000510401,F,50,7
1000510402,F,50,7
1000510577,T,50,6
1000510578,T,50,6
1000510579,T,50,6
1000510580,T,50,6
1000510581,T,50,6
1000510582,F,50,8
1000510583,T,50,8
1000510590,T,50,6
1000510591,T,50,6
1000510592,T,50,8
1000510593,T,50,8
1000510594,T,52,6
1000510595,T,52,6
1000510596,F,68,6
1000510849,T,50,6
1000510850,T,51,6
1000510905,T,21,6
1000510906,T,21,6
1000510915,T,24,6
1000510916,T,24,6
1000510921,T,31,6
1000510922,T,31,6
1000511252,F,49,6
1000511253,T,49,6
1000511254,F,49,6
1000511495,F,77,6
1000511500,F,30,6
1000511500,T,19,6
1000511502,T,30,6
1000511503,T,30,6
1000511504,F,53,6
1000511505,F,62,6
1000511564,T,50,6
1000511565,T,50,6
1000511903,T,90,6
1000511959,T,50,6
1000511960,T,50,6
1000512034,T,24,8
1000512035,T,38,8
1000512097,F,23,6
1000512098,F,23,6
1000512099,F,23,6
1000512723,T,19,6
1000512894,T,30,6
1000512895,T,30,6
1000513043,F,70,6
1000513044,F,70,6
1000513044,T,69,8
1000513045,F,70,6
1000513045,T,69,8
1000513046,T,70,10
1000513047,T,33,8
1000513264,F,30,6
1000513265,F,30,6
1000513266,F,30,6
1000513267,T,30,6
1000513384,T,41,6
1000513385,T,41,6
1000513549,F,31,6
1000513551,F,30,6
1000513813,T,30,6
1000513814,T,30,6
1000513815,T,30,6
1000513816,F,30,6
1000513816,T,27,6
1000513817,F,26,6
1000513817,T,27,6
1000513849,F,39,6
1000513850,T,39,6
1000514124,F,30,6
1000514125,F,30,6
1000514126,F,31,6
